Task,Parent,Assignee,Assignee Email,Start Date,Due Date,Dependencies,Notes
Phase 4: User Requirements Gathering,TourPlan-HubSpot Integration Documentation & TMIS Collaboration,,,2025-07-21,2025-07-25,TMIS technical materials response,"Gather detailed user requirements from Travel Planners after receiving TourPlan API field capabilities from TMIS. Understanding available fields enables focused requirements gathering - users can specify exactly which fields they need integrated between systems."
Gather Travel Planner requirements,Phase 4: User Requirements Gathering,Joel Muriuki,joel.muriuki@angama.com,2025-07-21,2025-07-25,TMIS technical materials response,"Interview Travel Planners to identify specific field mapping needs between TourPlan and HubSpot. With complete API field list from TMIS, users can specify exactly which guest booking fields they want synchronized and how."
Document HubSpot API field capabilities,Phase 4: User Requirements Gathering,Joel Muriuki,joel.muriuki@angama.com,2025-07-22,2025-07-25,,"Document all guest booking fields available via HubSpot API for data exchange. Combined with TourPlan API capabilities, provides complete picture of possible field mappings for user requirements gathering."
Phase 5: Requirements Consolidation,TourPlan-HubSpot Integration Documentation & TMIS Collaboration,,,2025-07-28,2025-07-29,Phase 4: User Requirements Gathering,"Consolidate Travel Planner field requirements with TourPlan and HubSpot API capabilities to create comprehensive development specifications. Maps user needs to technical possibilities for precise integration scope."
Analyze TourPlan API field capabilities,Phase 5: Requirements Consolidation,,,2025-07-28,2025-07-28,TMIS technical materials response,"Review and analyze TourPlan API response payload from TMIS to identify all available guest booking fields, data types, and integration possibilities. Maps technical capabilities to user requirements."
Consolidate field mapping requirements,Phase 5: Requirements Consolidation,,,2025-07-29,2025-07-29,Gather Travel Planner requirements,"Combine Travel Planner field requirements with TourPlan and HubSpot API capabilities to create unified field mapping specification. Ensures proposed integration addresses real user needs within technical constraints."
Consolidated requirements document,Phase 5: Requirements Consolidation,,,2025-07-29,2025-07-29,Consolidate field mapping requirements,"Complete specification document combining user field requirements and API capabilities. Provides TMIS with exact field mapping requirements and prevents scope creep or additional discovery charges."

Phase 6: Future State Planning,TourPlan-HubSpot Integration Documentation & TMIS Collaboration,,,2025-07-30,2025-07-31,Phase 5: Requirements Consolidation,"Create comprehensive future-state diagrams and implementation specifications based on consolidated field mapping requirements. Provides TMIS with complete technical vision for implementation quotes, avoiding discovery fees and ensuring accurate project scoping.

Start development (coding) work!"
Create enhanced architecture diagrams,Phase 6: Future State Planning,,,2025-07-30,2025-07-30,Consolidated requirements document,"Design future-state system architecture showing new field mappings, enhanced workflows, and additional system components. Provides TMIS with clear technical vision and enables accurate implementation time estimates."
Develop detailed implementation specifications,Phase 6: Future State Planning,Joel Muriuki,joel.muriuki@angama.com,2025-07-31,2025-07-31,,"Document detailed technical specifications including field mappings, data flows, error handling, security requirements, and integration patterns based on consolidated requirements."
GitLab repository access,Phase 6: Future State Planning,Joel Muriuki,joel.muriuki@angama.com,2025-07-31,2025-07-31,Develop detailed implementation specifications,"Provide TMIS with GitLab repository access after all technical requirements, field mapping specifications, and future-state diagrams are complete. Ensures structured collaboration within defined framework."
TMIS implementation Workplan and Begin of Dev Work,Phase 6: Future State Planning,,,2025-08-01,2025-08-05,GitLab repository access,"TMIS delivers precise implementation plans with estimated timelines, based on complete field mapping specifications and future-state diagrams. Clear requirements enable accurate development planning and cost estimates."
